Unnamed: 0,romaji,english,native,description,tags,url,country,genres,cover,input
727,Hitori Koukan Nikki,My Solo Exchange Diary,一人交換日記,"Struggling with the idea of living alone and adjusting to the effects of her previous book’s success, this follow-up to the award-winning autobiographical comic continues the author’s quest for self-acceptance and love.
<br><br>
(Source: Seven Seas Entertainment)
<br><br>
<i>Note: Includes 3 extra chapters and the one-shot “Chika-chan no Yuuutsu”.</i>","[('Autobiographical', 94), ('Female Protagonist', 93), ('Rehabilitation', 84), ('Coming of Age', 81), ('Non-fiction', 79), ('Family Life', 75), ('Primarily Female Cast', 73), ('LGBTQ+ Themes', 72), ('Josei', 68), ('Yuri', 65), ('Primarily Adult Cast', 55), ('Suicide', 50), ('Drawing', 46), ('Disability', 20)]",https://anilist.co/manga/99140,JP,"['Drama', 'Psychological', 'Slice of Life']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx99140-8O9nxn9LVeK5.jpg,"Struggling with the idea of living alone and adjusting to the effects of her previous book’s success, this follow-up to the award-winning autobiographical comic continues the author’s quest for self-acceptance and love. A drama, psychological, slice of life japanese manga comic series. The story contains the themes, tropes and topics of autobiographical, female protagonist, rehabilitation, coming of age, non-fiction, family life, primarily female cast, lgbtq+ themes, josei, yuri, primarily adult cast, suicide."
728,Genjitsu Shugi Yuusha no Oukoku Saikenki,How a Realist Hero Rebuilt the Kingdom,現実主義勇者の王国再建記,"""O, Hero!"" With that cliched line, Kazuya Souma found himself summoned to another world and his adventure--did not begin. After he presents his plan to strengthen the country economically and militarily, the king cedes the throne to him and Souma finds himself saddled with ruling the nation! What's more, he's betrothed to the king's daughter now...?! In order to get the country back on its feet, Souma calls the wise, the talented, and the gifted to his side. Five people gather before the newly crowned Souma. Just what are the many talents and abilities they possess...?! What path will his outlook as a realist take Souma and the people of his country down? A revolutionary transferred-to-another-world administrative fantasy series starts here!
<br><br>
(Source: J-Novel Club)","[('Isekai', 91), ('Politics', 84), ('Male Protagonist', 79), ('Economics', 79), ('Female Harem', 68), ('Magic', 60), ('Elf', 60), ('Seinen', 40)]",https://anilist.co/manga/98171,JP,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Psychological', 'Romance']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx98171-H2x8ZR5B4WKo.jpg,"""O, Hero!"" With that cliched line, Kazuya Souma found himself summoned to another world and his adventure--did not begin. After he presents his plan to strengthen the country economically and militarily, the king cedes the throne to him and Souma finds himself saddled with ruling the nation! What's more, he's betrothed to the king's daughter now...?! In order to get the country back on its feet, Souma calls the wise, the talented, and the gifted to his side. Five people gather before the newly crowned Souma. Just what are the many talents and abilities they possess...?! What path will his outlook as a realist take Souma and the people of his country down? A revolutionary transferred-to-another-world administrative fantasy series starts here! A action, adventure, comedy, fantasy, psychological, romance japanese manga comic series. The story contains the themes, tropes and topics of isekai, politics, male protagonist, economics, female harem, magic, elf."
729,Watari-kun no xx ga Houkai Sunzen,Watari-kun's ****** Is about to Collapse,渡くんの××が崩壊寸前,"Naoto Watari has had his share of struggles: his parents died two years ago, and now he and his sister live at his aunt’s house. There, his desire to protect his sister earned him notoriety as “the guy with the sister complex”—which never mattered to him, as his sister always came first. But when Satsuki, a childhood friend-turned-enemy(?), becomes his school mate, Naoto’s ordinary life is thrown into chaos … and Satsuki may just be the beginning.
<br><br>
(Source: Kodansha USA)","[('School', 79), ('Seinen', 79), ('Love Triangle', 60), ('Yandere', 60), ('Female Harem', 50), ('Kuudere', 20)]",https://anilist.co/manga/85703,JP,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx85703-xm8ZYtoRieS0.jpg,"Naoto Watari has had his share of struggles: his parents died two years ago, and now he and his sister live at his aunt’s house. There, his desire to protect his sister earned him notoriety as “the guy with the sister complex”—which never mattered to him, as his sister always came first. But when Satsuki, a childhood friend-turned-enemy(?), becomes his school mate, Naoto’s ordinary life is thrown into chaos … and Satsuki may just be the beginning. A comedy, drama, romance, slice of life japanese manga comic series. The story contains the themes, tropes and topics of school, seinen, love triangle, yandere, female harem."
730,Boys Run The Riot,Boys Run The Riot,ボーイズ・ラン・ザ・ライオット,"High schooler Ryo knows he’s transgender, but he doesn’t have anyone to confide in about the confusion he feels. He can’t tell his best friend, who he’s secretly got a crush on, and he can’t tell his mom, who’s constantly asking why Ryo ""dresses like a boy."" He certainly can’t tell Jin, the new transfer student who looks like just another bully... The only time Ryo feels at ease is when he’s wearing his favorite clothes. Then, and only then, the world melts away, and he can be his true self. One day, while out shopping, Ryo sees an someone he didn't expect: Jin. The kid who looked so tough in class has the same taste in fashion as him! At least, Ryo has someone he can open up to - and the journey ahead might finally give him a way to express himself to the world.
<br><br>
(Source: Kodansha USA)
<br><br>
<i>Note: Includes the original one-shot.</i>","[('LGBTQ+ Themes', 97), ('Fashion', 95), ('Transgender', 93), ('Male Protagonist', 89), ('Coming of Age', 87), ('Seinen', 76), ('School', 57), ('Photography', 56), ('Urban', 51), ('Primarily Teen Cast', 50), ('Drawing', 35), ('Found Family', 20)]",https://anilist.co/manga/114972,JP,"['Drama', 'Psychological', 'Slice of Life']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx114972-etsbS09Ll5A9.jpg,"High schooler Ryo knows he’s transgender, but he doesn’t have anyone to confide in about the confusion he feels. He can’t tell his best friend, who he’s secretly got a crush on, and he can’t tell his mom, who’s constantly asking why Ryo ""dresses like a boy."" He certainly can’t tell Jin, the new transfer student who looks like just another bully... The only time Ryo feels at ease is when he’s wearing his favorite clothes. Then, and only then, the world melts away, and he can be his true self. One day, while out shopping, Ryo sees an someone he didn't expect: Jin. The kid who looked so tough in class has the same taste in fashion as him! At least, Ryo has someone he can open up to - and the journey ahead might finally give him a way to express himself to the world. A drama, psychological, slice of life japanese manga comic series. The story contains the themes, tropes and topics of lgbtq+ themes, fashion, transgender, male protagonist, coming of age, seinen, school, photography, urban, primarily teen cast."
731,Kengan Omega,,ケンガンオメガ,"Sequel to Kengan Asura. Takes place 2 years after the tournament.
","[('Martial Arts', 100), ('Athletics', 79), ('Ensemble Cast', 79), ('Conspiracy', 79), ('Boxing', 64), ('Primarily Adult Cast', 60), ('Wrestling', 60), ('Assassins', 50), ('Judo', 40), ('Ninja', 20), ('Clone', 20)]",https://anilist.co/manga/107267,JP,"['Action', 'Sports']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx107267-qNGfxOz4pfzJ.png,"Sequel to Kengan Asura. Takes place 2 years after the tournament. A action, sports japanese manga comic series. The story contains the themes, tropes and topics of martial arts, athletics, ensemble cast, conspiracy, boxing, primarily adult cast, wrestling, assassins."
732,Nidome no Jinsei wo Isekai de,,二度目の人生を異世界で,"All of a sudden, out of nowhere. ""Renya Kunugi, you have passed away!"" So said the young girl who styled herself God. Apparently, Renya Kunugi the protagonist had lived long and prospered. His life already came to a peaceful and fulfilling end, but at the request of Her Holiness, he was transported to an alternate world to start a new life as a young man. Thus did Renya, who was definitely your average everyday guy, end up fighting off bandits and vanquishing monsters. Eventually, after his successively blossoming talents coalesce into a force of sheer awesomeness, he will go on to leave his mark upon this alternate world.
<br><br>
(Source: J-Novel Club)
<br><br>
<i>Note: Includes 5 extra chapters.</i>","[('Swordplay', 79), ('Isekai', 73), ('Female Harem', 66), ('Magic', 66), ('Male Protagonist', 60), ('Seinen', 40), ('Nudity', 35)]",https://anilist.co/manga/98068,JP,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx98068-3GXlwTXpP3dL.jpg,"All of a sudden, out of nowhere. ""Renya Kunugi, you have passed away!"" So said the young girl who styled herself God. Apparently, Renya Kunugi the protagonist had lived long and prospered. His life already came to a peaceful and fulfilling end, but at the request of Her Holiness, he was transported to an alternate world to start a new life as a young man. Thus did Renya, who was definitely your average everyday guy, end up fighting off bandits and vanquishing monsters. Eventually, after his successively blossoming talents coalesce into a force of sheer awesomeness, he will go on to leave his mark upon this alternate world. A action, adventure, comedy, drama, fantasy, romance japanese manga comic series. The story contains the themes, tropes and topics of swordplay, isekai, female harem, magic, male protagonist."
733,SHY,Shy,シャイ,"Earth was on the brink of a third World War when super-powered individuals came forth from each country around the globe, ending the conflict and ushering in a new era of relative peace. Among those heroes, Japan is represented by a timid young girl known as “Shy.” She may spend more time worrying about her own shortcomings than she does battling villains, but she’ll show the world that despite it all she still has the heart of a hero! <br>
<br>
(Source: Yen Press)<br><br>
<i>Note: Nominated for the Tsugimanga 2020 Award in the Manga Category.<i>","[('Superhero', 100), ('Henshin', 92), ('Female Protagonist', 88), ('Super Power', 88), ('Shounen', 84), ('Coming of Age', 79), ('Suicide', 79), ('Ninja', 73), ('Tokusatsu', 73), ('Yuri', 68), ('Disability', 60), ('Philosophy', 60), ('Space', 50), ('Yandere', 50), ('LGBTQ+ Themes', 40)]",https://anilist.co/manga/110909,JP,"['Action', 'Comedy', 'Drama']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx110909-s7xqS4Nkqs33.jpg,"Earth was on the brink of a third World War when super-powered individuals came forth from each country around the globe, ending the conflict and ushering in a new era of relative peace. Among those heroes, Japan is represented by a timid young girl known as “Shy.” She may spend more time worrying about her own shortcomings than she does battling villains, but she’ll show the world that despite it all she still has the heart of a hero!  A action, comedy, drama japanese manga comic series. The story contains the themes, tropes and topics of superhero, henshin, female protagonist, super power, shounen, coming of age, suicide, ninja, tokusatsu, yuri, disability, philosophy, space, yandere."
734,Taming Master,,테이밍 마스터,"The best-known VR game in the world, 'Kaillan'. A certified game addict well known in the virtual world, Ian. Despite having a Level 93 Archer character in the top leaderboards of Kaillan, Ian decides to delete it despite everyone around him telling him not to. All to convert to a hidden class he obtained by chance. The class he chose is the most worthless class in Kaillan, the Summoner class. If he wants to avoid getting an F in college, he needs to level up to his previous level within two months... Kaillan is notorious for its very cruel leveling system, where it is said to take over a year to reach level 100. His struggles to reach level 93 in only two months unfold... Level quickly, thoroughly and persistently. The legend of the 'Taming Master' begins!
","[('Video Games', 60), ('Virtual World', 60), ('Full Color', 20), ('Male Protagonist', 20), ('Magic', 20), ('Animals', 20)]",https://anilist.co/manga/125816,KR,"['Action', 'Adventure', 'Fantasy']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx125816-08x56KlWwnOO.jpg,"The best-known VR game in the world, 'Kaillan'. A certified game addict well known in the virtual world, Ian. Despite having a Level 93 Archer character in the top leaderboards of Kaillan, Ian decides to delete it despite everyone around him telling him not to. All to convert to a hidden class he obtained by chance. The class he chose is the most worthless class in Kaillan, the Summoner class. If he wants to avoid getting an F in college, he needs to level up to his previous level within two months... Kaillan is notorious for its very cruel leveling system, where it is said to take over a year to reach level 100. His struggles to reach level 93 in only two months unfold... Level quickly, thoroughly and persistently. The legend of the 'Taming Master' begins! A action, adventure, fantasy korean manhwa comic series. The story contains the themes, tropes and topics of video games, virtual world."
735,Onii-chan wa Oshimai!,ONIMAI: I'm Now Your Sister!,お兄ちゃんはおしまい！,"Mahiro Oyama was just a normal erotic-game loving dude…until he woke up one morning as a woman! Turns out his mad-scientist little sister, Mihari, tried out one of her new experiments on him…with a disastrous outcome, as far as Mahiro’s concerned! But Mihari is as determined to study him as he is determined to go back to his shut-in, game-playing life, and one thing’s for sure…life is going to get a whole lot weirder from here on out!
<br><br>
(Source: Kodansha USA)
<br><br>
<I>Note: Includes 57 extra chapters.</i>","[('Gender Bending', 97), ('Cute Girls Doing Cute Things', 90), ('Primarily Female Cast', 82), ('School', 78), ('LGBTQ+ Themes', 78), ('Rehabilitation', 76), ('Hikikomori', 72), ('Yuri', 72), ('Bisexual', 70), ('Crossdressing', 62)]",https://anilist.co/manga/100080,JP,"['Comedy', 'Slice of Life']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/nx100080-OywzGKBBclq0.jpg,"Mahiro Oyama was just a normal erotic-game loving dude…until he woke up one morning as a woman! Turns out his mad-scientist little sister, Mihari, tried out one of her new experiments on him…with a disastrous outcome, as far as Mahiro’s concerned! But Mihari is as determined to study him as he is determined to go back to his shut-in, game-playing life, and one thing’s for sure…life is going to get a whole lot weirder from here on out! A comedy, slice of life japanese manga comic series. The story contains the themes, tropes and topics of gender bending, cute girls doing cute things, primarily female cast, school, lgbtq+ themes, rehabilitation, hikikomori, yuri, bisexual, crossdressing."
736,Yuusha ga Shinda! Murabito no Ore ga Hotta Otoshiana ni Yuusha ga Ochita Kekka.,The Legendary Hero Is Dead!,勇者が死んだ! 村人の俺が掘った落とし穴に勇者が落ちた結果。,"Three years ago a hero sealed a Hell Gate. The seal has been weakening ever since, sporadically letting monsters through. After a big group of monsters entered the country through a Hell Gate, the profession of heroes was needed again.
A small radish farmer by the name of Touka Scott is forced to take matters into his own hands and protect the region from attacking monsters.","[('Tragedy', 79), ('Zombie', 79), ('Tsundere', 79), ('Necromancy', 79), ('Male Protagonist', 79), ('Demons', 76), ('Anti-Hero', 74), ('Female Harem', 68), ('Nudity', 66), ('Parody', 63), ('Shounen', 46), ('Magic', 40), ('Agriculture', 30), ('Dissociative Identities', 20)]",https://anilist.co/manga/85952,JP,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Fantasy']",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx85952-qErNTk3it9Ie.png,"Three years ago a hero sealed a Hell Gate. The seal has been weakening ever since, sporadically letting monsters through. After a big group of monsters entered the country through a Hell Gate, the profession of heroes was needed again.A small radish farmer by the name of Touka Scott is forced to take matters into his own hands and protect the region from attacking monsters. A action, adventure, comedy, ecchi, fantasy japanese manga comic series. The story contains the themes, tropes and topics of tragedy, zombie, tsundere, necromancy, male protagonist, demons, anti-hero, female harem, nudity, parody."
